[86695:0718/202837.284625:INFO:CONSOLE(5)] "🔧 preload.ts が実行されました", source:  (5)
[86695:0718/202837.284690:INFO:CONSOLE(37)] "🔧 contextBridge.exposeInMainWorld が完了しました", source:  (37)
[86695:0718/202837.488058:INFO:CONSOLE(233)] "🔍 WorkerManager: Electron環境判定を開始", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (233)
[86695:0718/202837.488118:INFO:CONSOLE(233)] "🔍 WorkerManager Electron環境判定結果: [object Object]", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (233)
[86695:0718/202837.488132:INFO:CONSOLE(233)] "🔍 WorkerManager 最終判定: [object Object]", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (233)
[86695:0718/202837.501506:INFO:CONSOLE(220)] "Electron環境: 企業設定の非同期読み込みをスキップします。", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (220)
[86695:0718/202837.501534:INFO:CONSOLE(220)] "Electron環境: APIキーが未設定のため、認証サービスからの取得を待機します。", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (220)
[86695:0718/202837.615320:INFO:CONSOLE(1664)] "MinutesGen 初期化開始...", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (1664)
[86695:0718/202837.615356:INFO:CONSOLE(1664)] "React version: 18.3.1", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (1664)
[86695:0718/202837.615368:INFO:CONSOLE(1664)] "ReactDOM available: true", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (1664)
[86695:0718/202837.615378:INFO:CONSOLE(1664)] "React dependencies loaded successfully", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (1664)
[86695:0718/202837.616369:INFO:CONSOLE(1664)] "MinutesGen アプリケーションが正常に読み込まれました", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (1664)
[86695:0718/202837.621035:INFO:CONSOLE(220)] "Electron環境: APIキーが未設定のため、認証サービスからの取得を待機します。", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (220)
[86695:0718/202837.621119:INFO:CONSOLE(1664)] "🎯 renderCurrentStep実行: [object Object]", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (1664)
[86695:0718/202837.641824:INFO:CONSOLE(810)] "🔄 useAppState setCurrentStep: [object Object]", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (810)
[86695:0718/202837.642195:INFO:CONSOLE(1627)] "🔒 CSP設定完了: default-src 'self'; script-src 'self' 'unsafe-inline' https://api.openai.com; style-src 'self' 'unsafe-inline' https://fonts.googleapis.com; img-src 'self' data: blob:; font-src 'self' https://fonts.gstatic.com; connect-src 'self' https://api.openai.com https://unpkg.com; media-src 'self' blob:; object-src 'none'; base-uri 'self'; form-action 'self'; upgrade-insecure-requests", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (1627)
[86695:0718/202837.642246:INFO:CONSOLE(1627)] "🔒 セキュリティサービスが初期化されました", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (1627)
[86695:0718/202837.642264:INFO:CONSOLE(1627)] "🔒 セキュリティヘッダー設定完了（meta対応分のみ）", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (1627)
[86695:0718/202837.670906:INFO:CONSOLE(1627)] "♿ アクセシビリティサービスが初期化されました", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (1627)
[86695:0718/202837.670946:INFO:CONSOLE(1664)] "🛡️ 安全な監視サービスが初期化されました", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (1664)
[86695:0718/202837.670958:INFO:CONSOLE(1664)] "🛡️ 監視サービス設定更新: [object Object]", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (1664)
[86695:0718/202837.671061:INFO:CONSOLE(1664)] "🚀 全サービスが初期化されました", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (1664)
[86695:0718/202837.794236:INFO:CONSOLE(1664)] "🎯 renderCurrentStep実行: [object Object]", source: file:///Users/tokuhisamasaki/AIdev/%E8%AD%B0%E4%BA%8B%E9%8C%B2/dist/assets/index-5838cf63.js (1664)
